freq,word,pron,type1
6,騒ぎ,サワギ,名詞
6,久しぶり,ヒサシブリ,名詞
6,にとって,ニトッテ,助詞
6,歌い,ウタイ,動詞
6,寂し,サビシ,形容詞
6,見ろ,ミロ,動詞
6,いかが,イカガ,名詞
5,調子,チョーシ,名詞
5,有名,ユーメイ,名詞
5,補習,ホシュー,名詞
5,譲っ,ユズッ,動詞
5,終わり,オワリ,動詞
5,喜ん,ヨロコン,動詞
5,相変わらず,アイカワラズ,副詞
5,同士,ドーシ,名詞
5,聞こえ,キコエ,動詞
5,頑張れ,ガンバレ,動詞
5,売れ,ウレ,動詞
5,早い,ハヤイ,形容詞
5,取れる,トレル,動詞
5,珍しい,メズラシイ,形容詞
5,のら,ノラ,動詞
5,どれ,ドレ,名詞
5,まず,マズ,副詞
5,まっ,マッ,接頭詞
5,おいおい,オイオイ,副詞
5,うう,ウー,形容詞
5,おき,オキ,動詞
5,留学,リューガク,名詞
5,ギャグ,ギャグ,名詞
5,ごみ,ゴミ,名詞
5,げっ,ゲッ,感動詞
5,くま,クマ,名詞
5,来れ,クレ,動詞
5,足り,タリ,動詞
5,教師,キョーシ,名詞
5,ぼーっと,ボーット,副詞
5,フン,フン,名詞
5,クマ,クマ,名詞
5,よそ,ヨソ,名詞
5,黙っ,ダマッ,動詞
5,おもしろい,オモシロイ,形容詞
5,痛く,イタク,形容詞
5,揃え,ソロエ,動詞
5,ばっかり,バッカリ,助詞
5,プライバシー,プライバシー,名詞
5,我慢,ガマン,名詞
5,物語,モノガタリ,名詞
5,出す,ダス,動詞
5,伝説,デンセツ,名詞
5,切っ,キッ,動詞
5,気がつい,キガツイ,動詞
5,手紙,テガミ,名詞
5,小さな,チーサナ,連体詞
5,特別,トクベツ,名詞
5,あんなに,アンナニ,副詞
5,手裏剣,シュリケン,名詞
5,意外と,イガイト,副詞
5,努力,ドリョク,名詞
5,わかる,ワカル,動詞
5,新しい,アタラシイ,形容詞
5,受け,ウケ,動詞
5,言える,イエル,動詞
5,写真,シャシン,名詞
5,逃げる,ニゲル,動詞
5,合う,アウ,動詞
5,世界中,セカイジュー,名詞
5,特に,トクニ,副詞
5,道具,ドーグ,名詞
5,運動,ウンドー,名詞
5,めちゃくちゃ,メチャクチャ,名詞
5,どっか,ドッカ,名詞
5,向こう,ムコー,名詞
5,弾い,ヒイ,動詞
5,思い出せ,オモイダセ,動詞
5,苦手,ニガテ,名詞
5,ついてる,ツイテル,動詞
5,焼い,ヤイ,動詞
5,乗っ,ノッ,動詞
5,宮沢,ミヤザワ,名詞
5,寂しく,サビシク,形容詞
5,雰囲気,フンイキ,名詞
5,付け,ツケ,動詞
